t;ax_g;ay_g;az_g;x_g;y_g;z_g;tx_g;ty_g;tz_g
0.117200203;122900.3286211;75311.4070555939;103375.893868937;370.870374467445;99.2412201363186;-199.812416339346;0.877198357127044;-1.42267445217749;-0.395398109054246
0.117300197;121718.461233154;74685.9124215294;101283.062443289;372.162998092173;99.6380351540061;-200.006136264675;0.876643507873657;-1.42349446938779;-0.395346912698776
0.117400199;120063.062440759;74408.4273326594;98837.8389913402;373.456941133496;100.035629647857;-200.198859739337;0.876072545907905;-1.42431131046059;-0.395291061328519
0.117500201;118421.530750757;74000.0139021746;98020.9122991389;374.752084888139;100.433967928412;-200.390590725169;0.875485412710211;-1.42512442690819;-0.395230375894684
0.117600203;118366.690214279;72990.7423057768;98749.6796494772;376.048416872344;100.8330447365;-200.581337598279;0.874882231928846;-1.42593320761067;-0.395164825517172
0.117700197;120104.673570887;71403.8160621349;100079.47244635;377.345833205808;101.232818024352;-200.77108029191;0.874263275775485;-1.4267372429856;-0.395094571966193
0.117800303;122571.172617374;70243.8850448482;101616.17056724;378.645907483786;101.633755302895;-200.960032631526;0.873628622031048;-1.42753692839623;-0.39501990946585
0.117900297;124086.119378691;69498.8645156093;102866.396485455;379.945751085888;102.034947795477;-201.147757680219;0.872979202876864;-1.42833205700164;-0.394941275765763
0.118000299;124754.566038302;69141.801694492;103610.784472484;381.246937426879;102.436868343814;-201.334470348248;0.872315905972729;-1.42912241524665;-0.394859049305763
0.118100397;123892.367978545;69737.7337158659;102794.714984108;382.550618441904;102.839869556115;-201.520328522068;0.871638345871715;-1.4299089382938;-0.394773323466105
0.118200399;120925.948518887;70458.3174953471;101870.019430446;383.854283457696;103.243182316217;-201.704980234649;0.870946867686818;-1.43069135074595;-0.394684099891338
0.118300401;117796.259177812;70471.9313569926;101748.682143368;385.159157373152;103.647197920182;-201.888611197811;0.870241576095999;-1.43146948052549;-0.394591264823746
0.118400499;116136.157030943;69743.0025675555;101686.243829292;386.466467322722;104.05230527405;-202.071399302727;0.869521553438406;-1.4322442909522;-0.39449464675977
0.118500501;116027.31739548;68663.6970165436;101783.814164886;387.773689331239;104.457721024078;-202.252994311457;0.868787040630242;-1.43301553606273;-0.394394389004848
0.118600599;116327.289550113;67456.0320658502;102010.042717325;389.083329262505;104.864213294851;-202.433743980357;0.868038066242892;-1.43378316806974;-0.394290704520244
0.118699998;116776.164583764;66573.5093854695;102159.560069058;390.384977509326;105.26853661046;-202.612220219951;0.867277111200118;-1.43454471977145;-0.394184111418814
0.118800104;116904.438277713;66351.7613461636;101506.259992224;391.697049362546;105.676402206925;-202.790947777283;0.866501934740925;-1.43530226965673;-0.394074275819259
0.118900299;115437.552653857;67172.6868039021;99928.6087800793;393.0114568069;106.085298847777;-202.968817982444;0.865709584684335;-1.43605853395396;-0.393960494898179
0.119000398;112622.716641243;68983.5972685553;98058.6285396693;394.325758719831;106.494479570006;-203.145516747228;0.864903256734175;-1.43681023641599;-0.393842751613956
0.119100504;110116.051997296;70213.8164470123;97114.3518853557;395.641281891048;106.904378727097;-203.321242917978;0.864083368596308;-1.43755685120748;-0.393720632637614
0.119200602;109481.225213318;70257.3142326017;97178.1776637148;396.957807985065;107.314945697253;-203.495979433357;0.863249761517148;-1.43829846760887;-0.393593781777859
0.1193;109826.555763267;69078.4647223129;97510.0080347254;398.266215330137;107.723335076233;-203.668529832285;0.862405801625104;-1.43903241222241;-0.393462607139912
0.119400203;109725.025860039;67221.7692202663;97874.7508828204;399.586316329907;108.135720981287;-203.841502454967;0.861548292600053;-1.43976176847951;-0.393326691158777
0.119500302;109490.585734529;65006.9318106092;99606.0506796247;400.906146868343;108.548351880811;-204.01331093251;0.860674801604844;-1.4404889322756;-0.393185923193805
